CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment
12346.0,5.786897381366708,0.6931471805599453,11.253955234248428,1,1,5,115,2,Occasional
12347.0,0.6931471805599453,2.0794415416798357,8.368925174747135,5,5,5,555,1,Regular
12348.0,4.31748811353631,1.6094379124341003,7.494563687769957,2,4,4,244,2,Occasional
12349.0,2.9444389791664403,0.6931471805599453,7.472244884833674,4,1,4,414,0,High-Value
12350.0,5.736572297479192,0.6931471805599453,5.815323849389109,1,1,2,112,3,At-Risk
12352.0,3.58351893845611,2.1972245773362196,7.826858053356098,3,5,5,355,2,Occasional
12353.0,5.318119993844216,0.6931471805599453,4.499809670330265,1,1,1,111,3,At-Risk
12354.0,5.44673737166631,0.6931471805599453,6.985086621918461,1,1,4,114,3,At-Risk
12355.0,5.365976015021851,0.6931471805599453,6.132095676847728,1,1,2,112,3,At-Risk
12356.0,3.1354942159291497,1.3862943611198906,7.941804157314053,4,3,5,435,2,Occasional
12357.0,3.4965075614664802,0.6931471805599453,8.733701981297274,4,1,5,415,2,Occasional
12358.0,0.6931471805599453,1.0986122886681098,7.063955286074528,5,2,4,524,0,High-Value
12359.0,4.060443010546419,1.6094379124341003,8.750054175177759,3,4,5,345,2,Occasional
12360.0,3.9512437185814275,1.3862943611198906,7.887231116540211,3,3,5,335,2,Occasional
12361.0,5.659482215759621,0.6931471805599453,5.251749730731702,1,1,1,111,3,At-Risk
12362.0,1.0986122886681098,2.3978952727983707,8.56163678004062,5,5,5,555,1,Regular
12363.0,4.700480365792417,1.0986122886681098,6.315358001522335,2,2,3,223,3,At-Risk
12364.0,2.0794415416798357,1.6094379124341003,7.180907299649593,5,4,4,544,0,High-Value
12365.0,5.673323267171493,1.0986122886681098,6.465180028897591,1,2,3,123,3,At-Risk
12367.0,1.3862943611198906,0.6931471805599453,5.135210028677887,5,1,1,511,0,High-Value
12370.0,3.9318256327243257,1.6094379124341003,8.172712169921061,3,4,5,345,2,Occasional
12371.0,3.8066624897703196,1.0986122886681098,7.543781692052325,3,2,4,324,2,Occasional
12372.0,4.276666119016055,1.3862943611198906,7.169380809114136,3,3,4,334,2,Occasional
12373.0,5.739792912179234,0.6931471805599453,5.901539839579995,1,1,2,112,3,At-Risk
12374.0,3.2188758248682006,0.6931471805599453,6.6119469443852195,4,1,3,413,0,High-Value
12375.0,2.3978952727983707,1.0986122886681098,6.127960291696519,5,2,2,522,0,High-Value
12377.0,5.752572638825633,1.0986122886681098,7.395795270713971,1,2,4,124,2,Occasional
